,Accuracy,Macro F1,Median F1,Weighted F1,Macro Precision,Macro Recall,Time (s),Total Score,Time Score,Scaled Accuracy,Scaled Median F1,Scaled Weighted F1,Scaled Macro Precision,Scaled Macro Recall
SingleR,0.7098309203199352,0.6700657227741157,0.7463810462444828,0.723107890926517,0.6948899260950413,0.7213115065228366,632.00589299202,0.7191042580217626,0.8334319407355923,0.7,0.7,0.7,0.7,0.7
SVM,0.9974182444061962,0.8723336412123788,0.9969463314653237,0.997442001623103,0.872567315587567,0.8721106645065784,19.17953658103943,0.9472969115177536,1.0,1.0,0.9995487179587226,1.0,0.8760018516676744,0.8659462010629969
singleCellNet,0.9735749721575377,0.9760033609171942,0.9866317169069463,0.9735279414429048,0.9791312728701527,0.9731094499555236,1122.92,0.977195070666613,0.7,0.9751276183770463,0.9872176818996885,0.973848610966231,0.9815608868174959,0.9770898240203358
RF,0.9969120178191758,0.9957872161774389,0.9973238180196253,0.9969002738841611,0.9977459264307905,0.9939284577114238,84.68056893348694,0.9965620987730354,0.982196621074428,0.9994719239570498,1.0,0.9994075898134944,1.0,1.0
